Product Title;Product Version;Product Artist;Product Barcode;Product Catalog Number;Product Label;Asset Title;Asset Version;Asset Artist;Asset ISRC;Asset Duration;Sale ID;Report ID;Report Name;Sale Unit Type;Sale Type;Sale Start date;Sale End date;Sale Store Name;Sale Country;Unit Count;Royalty;Currency;;;
Cyklar ni så springer jag;;Mares;7,07125E+12;HYBR204;Hybris;Cyklar ni så springer jag;;Mares;SEWGI1605601;208;953883494;136098;;Asset;Other;2019-03-01;2019-03-31;Google Play;SE;5;0,013156539;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Allt vi har är tid;;Mares;SEWGI1801503;250;953883409;136098;;Asset;Streaming;2019-03-01;2019-04-01;Google Play;SE;3;0,177491188;SEK;;;
Höga klackar;;Mares;7,07125E+12;HYBR165;Hybris;Höga klackar;;Mares;SEWGI1605001;181;953883238;136098;;Asset;Streaming;2019-03-01;2019-04-01;Google Play;JP;7;0,493854908;SEK;;;
Allt du gör och att du finns;;Mares;7,07125E+12;HYBR7071245201470;Hybris;Allt du gör och att du finns;;Mares;SEWGI1509001;260;953883199;136098;;Asset;Streaming;2019-03-01;2019-04-01;Google Play;SE;11;0,650801026;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Epos No. 1;;Mares;SEWGI1801501;332;953883104;136098;;Asset;Other;2019-03-01;2019-03-31;Google Play;SE;3;0,007893923;SEK;;;
95;;Mares;7,07125E+12;HYBR250;Hybris;95;;Mares;SEWGI1704101;229;953883825;136098;;Asset;Streaming;2019-03-01;2019-03-31;Amazon Unlimited GB;GB;1;0,063177173;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Rock'n'Roll Will Never Die;;Mares;SEWGI1801504;251;953883756;136098;;Asset;Other;2019-03-01;2019-03-31;Google Play;NO;1;0,001858217;SEK;;;
95;;Mares;7,07125E+12;HYBR250;Hybris;95;;Mares;SEWGI1704101;229;953883647;136098;;Asset;Streaming;2019-03-01;2019-03-31;Amazon Unlimited US;US;1;0,044162293;SEK;;;
Allt du gör och att du finns;;Mares;7,07125E+12;HYBR7071245201470;Hybris;Allt du gör och att du finns;;Mares;SEWGI1509001;260;953883602;136098;;Asset;Streaming;2019-03-01;2019-04-01;Google Play;AT;1;0,068855995;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Epos No. 1;;Mares;SEWGI1801501;332;953883555;136098;;Asset;Streaming;2019-03-01;2019-04-01;Google Play;NO;3;0,231653834;SEK;;;
95;;Mares;7,07125E+12;HYBR250;Hybris;95;;Mares;SEWGI1704101;229;953883006;136098;;Asset;Streaming;2019-03-01;2019-04-01;Google Play;SE;6;0,354982378;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Fri;;Mares;SEWGI1801502;263;953882920;136098;;Asset;Other;2019-03-01;2019-03-31;Google Play;SE;1;0,002631307;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Rock'n'Roll Will Never Die;;Mares;SEWGI1801504;251;953882831;136098;;Asset;Streaming;2019-03-01;2019-04-01;Google Play;SE;6;0,354982378;SEK;;;
95;;Mares;7,07125E+12;HYBR250;Hybris;95;;Mares;SEWGI1704101;229;953882764;136098;;Asset;Streaming;2019-03-01;2019-04-01;Google Play;US;2;0,068772035;SEK;;;
Höga klackar;;Mares;7,07125E+12;HYBR165;Hybris;Höga klackar;;Mares;SEWGI1605001;181;953882728;136098;;Asset;Other;2019-03-01;2019-03-31;Google Play;NO;2;0,003716433;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Rock'n'Roll Will Never Die;;Mares;SEWGI1801504;251;953882722;136098;;Asset;Other;2019-03-01;2019-03-31;Google Play;SE;14;0,036838308;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Fri;;Mares;SEWGI1801502;263;953882721;136098;;Asset;Other;2019-03-01;2019-03-31;Google Play;NO;1;0,001858217;SEK;;;
Allt du gör och att du finns;;Mares;7,07125E+12;HYBR7071245201470;Hybris;Allt du gör och att du finns;;Mares;SEWGI1509001;260;953882710;136098;;Asset;Other;2019-03-01;2019-03-31;Google Play;GB;2;0,003865543;SEK;;;
Freddie;;Mares;7,07125E+12;HYBR7071245386337;Hybris;Freddie;;Mares;SEWGI1801901;172;953883935;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;DE;1;0,03480988;SEK;;;
Allt du gör och att du finns;;Mares;7,07125E+12;HYBR7071245201470;Hybris;Allt du gör och att du finns;;Mares;SEWGI1509001;260;953883919;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;FR;4;0,278703168;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Rock'n'Roll Will Never Die;;Mares;SEWGI1801504;251;953883844;136098;;Asset;Streaming;2019-03-01;2019-03-31;Amazon Unlimited DE;DE;1;0,024352908;SEK;;;
Nattens sista dans;;Mares;7,07125E+12;HYBR222;Hybris;Nattens sista dans;;Mares;SEWGI1700701;172;953882627;136098;;Asset;Streaming;2019-03-01;2019-04-01;Google Play;SE;1;0,059163729;SEK;;;
Cyklar ni så springer jag;;Mares;7,07125E+12;HYBR204;Hybris;Cyklar ni så springer jag;;Mares;SEWGI1605601;208;953882626;136098;;Asset;Streaming;2019-03-01;2019-04-01;Google Play;SE;8;0,473309837;SEK;;;
Nattens sista dans;;Mares;7,07125E+12;HYBR222;Hybris;Nattens sista dans;;Mares;SEWGI1700701;172;953882624;136098;;Asset;Streaming;2019-03-01;2019-04-01;Google Play;SE;1;0,059163729;SEK;;;
Höga klackar;;Mares;7,07125E+12;HYBR165;Hybris;Höga klackar;;Mares;SEWGI1605001;181;953882617;136098;;Asset;Streaming;2019-03-01;2019-04-01;Google Play;SE;1;0,059163729;SEK;;;
Cyklar ni så springer jag;;Mares;7,07125E+12;HYBR204;Hybris;Cyklar ni så springer jag;;Mares;SEWGI1605601;208;953882600;136098;;Asset;Streaming;2019-03-01;2019-04-01;Google Play;US;1;0,034386017;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Allt vi har är tid;;Mares;SEWGI1801503;250;953882557;136098;;Asset;Other;2019-03-01;2019-03-31;Google Play;NO;1;0,001858217;SEK;;;
Allt du gör och att du finns;;Mares;7,07125E+12;HYBR7071245201470;Hybris;Allt du gör och att du finns;;Mares;SEWGI1509001;260;953882556;136098;;Asset;Other;2019-03-01;2019-03-31;Google Play;SE;5;0,013156539;SEK;;;
Freddie;;Mares;7,07125E+12;HYBR7071245386337;Hybris;Freddie;;Mares;SEWGI1801901;172;953879522;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;MX;1;0,032621885;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Rock'n'Roll Will Never Die;;Mares;SEWGI1801504;251;953879476;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;NZ;1;0,085991929;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Epos No. 1;;Mares;SEWGI1801501;332;953879466;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;NO;1;0,067432021;SEK;;;
Freddie;;Mares;7,07125E+12;HYBR7071245386337;Hybris;Freddie;;Mares;SEWGI1801901;172;953879464;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;NO;2;0,134864041;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Epos No. 1;;Mares;SEWGI1801501;332;953879446;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;JP;2;0,154406722;SEK;;;
Höga klackar;O2H remix;Mares;7,07125E+12;HYBR165REMIX;Hybris;Höga klackar;O2H remix;Mares;SEWGI1602401;208;953879327;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;MX;1;0,032621885;SEK;;;
95;;Mares;7,07125E+12;HYBR250;Hybris;95;;Mares;SEWGI1704101;229;953879291;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;NO;44;1,462965714;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Allt vi har är tid;;Mares;SEWGI1801503;250;953879280;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;NO;1;0,182959181;SEK;;;
Epos No. 1;Short Edit;Mares;8,71886E+12;HYBR273;Hybris;Epos No. 1;Short Edit;Mares;SEWGI1801701;223;953879278;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;NO;1;0,067432021;SEK;;;
Höga klackar;;Mares;7,07125E+12;HYBR165;Hybris;Höga klackar;;Mares;SEWGI1605001;181;953879272;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;NZ;1;0,085991929;SEK;;;
Cyklar ni så springer jag;;Mares;7,07125E+12;HYBR204;Hybris;Cyklar ni så springer jag;;Mares;SEWGI1605601;208;953879265;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;NO;5;0,337160103;SEK;;;
95;;Mares;7,07125E+12;HYBR250;Hybris;95;;Mares;SEWGI1704101;229;953879257;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;JP;1;0,025476824;SEK;;;
Epos No. 1;Short Edit;Mares;8,71886E+12;HYBR273;Hybris;Epos No. 1;Short Edit;Mares;SEWGI1801701;223;953876023;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;SE;53;2,833521151;SEK;;;
